timestamp,road_segment_id,road_name,volume_vph,current_speed_kmh,free_flow_speed_kmh,congestion_level,traffic_density,occupancy_pct,incident_active,incident_severity,temperature_c,rainfall_mm,visibility_km,logistics_volume_norm,parking_pressure
2026-03-01 00:00:00,R-01,MG Road Arterial,276.4,49.8,50.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-02,Outer Ring Expressway,473.9,79.7,80.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-03,Cyber Link Boulevard,315.9,59.8,60.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-04,Hosur Freight Corridor,570.4,64.5,65.0,0.0071,0.1426,5.6,0,0.0,17.1,0.0,10.0,0.143,0.106
2026-03-01 00:00:00,R-05,Indiranagar Main Access,217.2,44.8,45.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-06,Old City Heritage Pass,158.0,34.9,35.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-07,North Aerotropolis Link,444.3,79.7,80.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-08,Koramangala Commercial Loop,236.9,39.9,40.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-09,Greenfield Eco Corridor,256.7,54.8,55.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-10,Hebbal Flyover Expressway,414.6,74.7,75.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-11,Whitefield Transit Spine,296.2,49.8,50.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:00:00,R-12,Peenya Industrial Access,356.5,44.7,45.0,0.0071,0.1426,5.6,0,0.0,17.1,0.0,10.0,0.143,0.106
2026-03-01 00:00:00,R-13,Sarjapur Logistics Parkway,442.1,54.6,55.0,0.0071,0.1426,5.6,0,0.0,17.1,0.0,10.0,0.143,0.106
2026-03-01 00:00:00,R-14,South Ring Arterial,375.2,69.8,70.0,0.0034,0.0987,5.29,0,0.0,17.1,0.0,10.0,0.099,0.103
2026-03-01 00:15:00,R-01,MG Road Arterial,272.7,49.8,50.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-02,Outer Ring Expressway,467.5,79.7,80.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-03,Cyber Link Boulevard,311.7,59.8,60.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-04,Hosur Freight Corridor,562.7,64.5,65.0,0.0069,0.1407,5.59,0,0.0,16.8,0.0,10.0,0.141,0.106
2026-03-01 00:15:00,R-05,Indiranagar Main Access,214.3,44.9,45.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-06,Old City Heritage Pass,155.8,34.9,35.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-07,North Aerotropolis Link,438.3,79.7,80.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-08,Koramangala Commercial Loop,233.8,39.9,40.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-09,Greenfield Eco Corridor,253.2,54.8,55.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-10,Hebbal Flyover Expressway,409.1,74.8,75.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-11,Whitefield Transit Spine,292.2,49.8,50.0,0.0033,0.0974,5.28,0,0.0,16.8,0.0,10.0,0.097,0.103
2026-03-01 00:15:00,R-12,Peenya Industrial Access,351.7,44.7,45.0,0.0069,0.1407,5.59,0,0.0,16.8,0.0,10.0,0.141,0.106
